MOVIES,IMDB-RATING,NUMBER OF LIKES,NUMBER OF DOWNLOADS
Star Wars: The Last Jedi (2017),7.4,,
The Commuter (2018),6.4,45,"12,019"
All I Wish (2017),5.5,7,0
Pyewacket (2017),6.1,7,"13,736"
The China Hustle (2017),6.8,3,"21,311"
The Redeemed and the Dominant: Fittest on Earth (2018),7.8,,
Status Update (2018),5.2,12,"34,946"
Birthmarked (2018),4.9,9,"17,473"
The Good Nanny (2017),5.7,4,"23,634"
Re: Born (2016),6.2,,
The Housemaid (2016),6.2,11,"26,058"
Slumber (2017),4.7,4,"25,250"
Fear in the Night (1972),6 ,2,"12,120"
Cowboy Zombies (2016),2.9,1,"15,453"
The Perfect Man (2005),5.5,6,"23,331"
Dead Girls (2014),3.5,3,"14,443"
The Cowboy Way (1994),5.8,4,"19,291"
Switching Channels (1988),5.9,4,"9,191"
Shark Killer (2015),4.2,12,"17,271"
Jumanji: Welcome to the Jungle (2017),7.1,,
The Amityville Terror (2016),3.1,5,"21,614"
Along with the Gods: The Two Worlds (2017),7.5,,
Phantom Thread (2017),7.8,57,"152,005"
Molly's Game (2017),7.5,,
Jackrabbit (2015),4.7,1,"16,665"
Happy Anniversary (2018),5.1,6,"28,785"
The Private Affairs of Bel Ami (1947),6.8,1,"14,645"
First Match (2018),5.8,9,"36,360"
The Big Sleep (1978),5.9,6,"16,261"
Estranged (2015),5.4,8,"27,876"
Country Crush (2016),5 ,6,"26,260"
Peace Breaker (2017),6 ,7,"35,653"
A Moving Romance (2017),6.2,47,"30,603"
Beyond the Woods (2018),4.7,8,"41,511"
The Titan (2018),6 ,54,"197,556"
The Voice of the Moon (1990),6.4,0,"18,988"
Hidden Camera (2007),4.7,2,"21,210"
Happy End (2017),6.9,9,"36,057"
Forever's End (2013),5.3,,
After the Storm (2016),7.4,16,"42,420"
"Farewell, My Lovely (1975)",7.2,,
The Feels (2017),5.1,9,"32,926"
Black Web (2012),4.6,4,"23,028"
Mary and the Witch's Flower (2017),6.8,,
The Executioners (2017),4.5,8,"31,209"
Blood Is Blood (2016),5.3,9,"27,977"
Moving Parts (2017),6.3,8,"40,400"
Looking Glass (2018),4.5,39,"134,027"
The Suffering (2016),4.4,4,"23,129"
The Ashram (2018),5 ,20,"61,206"
The Last Movie Star (2017),6.7,4,"35,855"
Western World (2017),3.2,8,"26,967"
Lucky (2017),7.4,19,"62,822"
Paradox (2018),4 ,8,"27,674"
Snow Dogs (2002),5.1,9,"32,522"
Avenger (2006),5.7,4,"29,391"
The Barbarians (1987),4.9,7,"29,189"
Altered Hours (2016),5.6,7,"41,410"
The Third Murder (2017),6.9,10,"50,399"
Allure (2017),4.5,11,"43,026"
You Only Live Once (2017),5 ,8,"33,835"
Birds Are Singing in Kigali (2017),6 ,3,"25,149"
The Coming Days (2010),6.4,4,"26,563"
Grace Jones: Bloodlight and Bami (2017),6 ,,
Ichi the Killer (2001),7.1,15,"37,269"
Okuda Tamio ni naritai Boy to deau otoko subete kuruwaseru Girl (2017),5.6,10,"26,664"
The Marquise of O (1976),7.3,4,"23,533"
Proud Mary (2018),4.9,17,"55,752"
The Boy with the Topknot (2017),6.9,7,"30,098"
Lies We Tell (2017),4 ,9,"42,824"
Small Town Crime (2017),6.6,13,"69,993"
Control (2017),6.2,18,"56,863"
Chasing the Dragon (2017),7 ,26,"72,720"
Dear Etranger (2017),7 ,4,"25,856"
Every Secret Thing (2014),6.1,12,"46,864"
Before We Vanish (2017),5.9,11,"36,966"
Believe in Me (2006),7.1,7,"41,107"
Undercover Grandpa (2017),5.1,18,"74,336"
Atlantic Rim 2 (2018),1.8,22,"107,161"
